Nombre_del_jugador,Club_del_Jugador,Part_jugados,puntos_clarin,Promedio_Puntos_Clarin,Puntos_Gran_DT,Promedio_Puntos_Gran_DT,Gol_de_Penal,Gol_en_Contra,Gol,Figura_de_la_cancha,Tarjeta_Amarilla,Tarjeta_roja,Penal_Errado,Valla_Invicta,Gol_de_Oro,Penal_atajado,Goles_recibidos
Blondel  Lucas,Tigre,6,35,5.83,56,9.33,0,0,1,1,0,0,0,3,0,,
Colombo  Nazareno,Def. y Justicia,5,27,5.4,42,8.4,0,0,1,1,0,1,0,2,0,,
Fabra  Frank,Boca,5,26,5.2,33,6.6,0,0,1,1,2,1,0,1,0,,
Garces  Facundo,Colon,6,35,5.83,46,7.67,0,0,1,0,1,0,0,1,0,,
Mura  Facundo,Racing,6,36,6,55,9.17,0,0,1,0,0,0,0,4,0,,
Almada  Facundo,Rosario Ctral.,6,31,5.17,55,9.17,0,0,2,0,0,0,0,2,0,,
Martinez  Mauricio,Racing,4,18,4.5,35,8.75,0,0,1,0,0,0,0,3,0,,
Diaz  Paulo,River,5,31,6.2,44,8.8,0,0,1,0,1,0,0,2,0,,
Rojas  Robert,River,4,20,5,37,9.25,0,0,1,0,0,0,0,3,0,,
Advincula  Luis,Boca,6,34,5.67,43,7.17,0,0,1,0,2,0,0,1,0,,
Aguirre  Braian,Lanus,4,22,5.5,35,8.75,0,0,1,0,0,0,0,1,0,,
Baez   Cristian,Rosario Ctral.,5,18,3.6,29,5.8,0,0,1,0,1,0,0,2,0,,
Mosevich  Leonel,Patronato,5,27,5.4,34,6.8,0,0,1,0,3,0,0,1,0,,
Ferrari  Gianluca,Godoy Cruz,6,31,5.17,36,6,0,0,1,0,2,0,0,0,0,,
Rogel  Agustin,Estudiantes,5,24,4.8,33,6.6,0,0,1,0,0,0,0,0,0,,
Perez  Matias,Lanus,6,32,5.33,54,9,0,0,2,0,2,0,0,3,0,,
Andueza  Federico,Sarmiento,6,33,5.5,42,7,0,0,1,0,2,0,0,2,0,,
Izquierdoz  Carlos,Boca,6,31,5.17,40,6.67,0,0,1,0,1,0,0,1,0,,
Mac Allister  Kevin,Argentinos,6,33,5.5,46,7.67,0,0,1,0,1,0,0,2,0,,
Polenta  Diego,Union,4,22,5.5,35,8.75,0,0,1,0,0,0,0,2,0,,
Tanco  Gregorio,Banfield,1,6,6,15,15,0,0,1,0,0,0,0,0,0,,
Tripichio  Nicolas,Def. y Justicia,6,32,5.33,41,6.83,0,0,1,0,1,0,0,1,0,,
Ferreyra  Nicolas,Barracas Ctral.,5,26,5.2,35,7,0,0,1,0,1,0,0,0,0,,
Giannetti  Lautaro,Velez,5,29,5.8,37,7.4,0,0,0,1,0,1,0,4,0,,
Luciatti  Abel,Tigre,6,34,5.67,44,7.33,0,0,0,1,0,0,0,3,0,,
Laso  Joaquin,Independiente,3,9,3,18,6,0,0,1,0,1,1,0,2,0,,
Zapata  Cristian,San Lorenzo,6,31,5.17,42,7,0,0,1,0,1,0,0,2,0,,
Glaby  Dylan,Barracas Ctral.,6,30,5,32,5.33,0,0,0,1,1,0,0,0,0,,
Lema  Cristian,Newell's,6,33,5.5,38,6.33,1,0,0,0,2,0,0,2,0,,
Ortiz  Guillermo,Godoy Cruz,6,35,5.83,35,5.83,0,0,0,1,2,0,0,0,0,,
Corvalan  Claudio,Union,6,31,5.17,41,6.83,0,0,0,1,1,0,0,4,0,,
De Los Santos  Matias,Velez,3,16,5.33,16,5.33,0,0,0,0,0,1,0,2,0,,
Komar  Juan Cruz,Rosario Ctral.,2,11,5.5,13,6.5,0,0,0,0,0,0,0,1,0,,
Muñoz  Ezequiel,Estudiantes,5,28,5.6,30,6,0,0,0,0,0,0,0,1,0,,
Perez  Rafael,Talleres,6,34,5.67,36,6,0,0,0,0,2,0,0,3,0,,
Quilez  Ismael,Huracan,6,36,6,40,6.67,0,0,0,0,1,0,0,3,0,,
Ruiz Diaz  Haibrany,Platense,5,30,6,30,6,0,0,0,0,2,0,0,2,0,,
Sigali  Leonardo,Racing,6,34,5.67,42,7,0,0,0,0,0,0,0,4,0,,
Bay  Jonathan,Ctral. Cordoba,6,32,5.33,34,5.67,0,0,0,0,0,0,0,1,0,,
Bettini  Gonzalo,Sarmiento,6,32,5.33,34,5.67,0,0,0,0,1,0,0,2,0,,
Britez  Emanuel,Union,6,32,5.33,38,6.33,0,0,0,0,2,0,0,5,0,,
Cabral  Yonathan,Lanus,4,19,4.75,23,5.75,0,0,0,0,0,0,0,2,0,,
Cabrera  Victor,Tigre,6,32,5.33,38,6.33,0,0,0,0,1,0,0,4,0,,
Calderon  Franco,Union,6,34,5.67,40,6.67,0,0,0,0,1,0,0,4,0,,
Casco  Milton,River,5,25,5,27,5.4,0,0,0,0,1,0,0,2,0,,
Chimino  Cristian,Arsenal,6,30,5,32,5.33,0,0,0,0,0,0,0,1,0,,
Demartini  Nicolas,Tigre,2,6,3,8,4,0,0,0,0,1,0,0,2,0,,
Fernandez  Damian,Velez,2,12,6,14,7,0,0,0,0,0,0,0,1,0,,
Fernandez Mercau  Nicolas,San Lorenzo,6,32,5.33,34,5.67,0,0,0,0,1,0,0,2,0,,
Galvan  Jonatan,Huracan,6,29,4.83,33,5.5,0,0,0,0,1,0,0,3,0,,
Gattoni  Federico,San Lorenzo,5,25,5,25,5,0,0,0,0,2,0,0,2,0,,
Gonzalez Pirez  Leandro,River,5,21,4.2,25,5,0,0,0,0,2,0,0,4,0,,
Guanini  Manuel,Sarmiento,4,17,4.25,19,4.75,0,0,0,0,1,0,0,2,0,,
Guidara  Tomas,Velez,6,30,5,34,5.67,0,0,0,0,1,0,0,3,0,,
Guiffrey  German,Gimnasia L.P.,3,15,5,17,5.67,0,0,0,0,1,0,0,2,0,,
Gomez  Elias,River,4,15,3.75,17,4.25,0,0,0,0,2,0,0,3,0,,
Gomez  Luciano,Argentinos,4,15,3.75,19,4.75,0,0,0,0,0,0,0,2,0,,
Ibañez  Cesar,Huracan,5,27,5.4,31,6.2,0,0,0,0,1,0,0,3,0,,
Insaurralde  Juan Manuel,Independiente,6,30,5,30,5,0,0,0,0,2,0,0,2,0,,
Insua  Emiliano,Racing,6,33,5.5,37,6.17,0,0,0,0,2,0,0,4,0,,
Jacob  Tomas,Newell's,1,6,6,8,8,0,0,0,0,0,0,0,1,0,,
Lollo  Luciano,Banfield,6,30,5,30,5,0,1,0,0,2,0,0,3,0,,
Lomonaco  Kevin,Lanus,5,19,3.8,17,3.4,0,0,0,0,0,1,0,1,0,,
Maidana  Jonatan,River,1,6,6,8,8,0,0,0,0,0,0,0,1,0,,
Maldonado  Alexis,Banfield,5,29,5.8,29,5.8,0,0,0,0,3,0,0,3,0,,
Mena  Eugenio,Racing,1,6,6,8,8,0,0,0,0,0,0,0,1,0,,
Meza  Eric,Colon,6,13,2.17,23,3.83,0,0,0,0,0,0,0,5,0,,
Montoya  Lautaro,Sarmiento,6,33,5.5,37,6.17,0,0,0,0,1,0,0,3,0,,
Morales  Leonardo,Gimnasia L.P.,6,30,5,32,5.33,0,0,0,0,1,0,0,2,0,,
Ortega  Francisco,Velez,6,28,4.67,34,5.67,0,0,0,0,1,0,0,4,0,,
Pasquini  Nicolas,Lanus,4,20,5,22,5.5,0,0,0,0,1,0,0,2,0,,
Peruzzi  Gino,San Lorenzo,4,20,5,24,6,0,0,0,0,0,0,0,2,0,,
Piovi  Gonzalo,Racing,6,32,5.33,36,6,0,0,0,0,2,0,0,4,0,,
Portillo  Juan Carlos,Union,6,32,5.33,40,6.67,0,0,0,0,0,0,0,4,0,,
Perez  Damian,Arsenal,5,25,5,25,5,0,0,0,0,1,0,0,1,0,,
Quinteros  Franco,Banfield,6,33,5.5,37,6.17,0,0,0,0,1,0,0,3,0,,
Sauro  Gaston,Sarmiento,3,18,6,18,6,0,0,0,0,1,0,0,1,0,,
Schott  Augusto,Platense,5,27,5.4,31,6.2,0,0,0,0,0,0,0,2,0,,
Suso  Gaston,Platense,4,16,4,22,5.5,0,0,0,0,0,0,0,3,0,,
Thaller  Nicolas,Atl. Tucuman,4,18,4.5,16,4,0,0,0,0,2,0,0,1,0,,
Tobio  Fernando,Huracan,6,30,5,30,5,0,0,0,0,3,0,0,3,0,,
Torren  Miguel angel,Argentinos,5,27,5.4,25,5,0,0,0,0,3,0,0,2,0,,
Vangioni  Leonel,Newell's,3,16,5.33,18,6,0,0,0,0,0,0,0,1,0,,
Vera  Federico,Union,4,21,5.25,27,6.75,0,0,0,0,1,0,0,4,0,,
Zambrano  Carlos,Boca,2,12,6,14,7,0,0,0,0,0,0,0,1,0,,
Herrera  Andres,River,2,7,3.5,9,4.5,0,0,0,0,0,0,0,1,0,,
Martinez  David,River,3,16,5.33,16,5.33,0,0,0,0,1,0,0,1,0,,
Sandoval  Jonathan,Colon,5,25,5,25,5,0,0,0,0,1,0,0,1,0,,
Abecasis  Luciano,Banfield,1,7,7,7,7,0,0,0,0,1,0,0,1,0,,
Bianchi  Bruno,Atl. Tucuman,5,25,5,21,4.2,0,0,0,0,3,0,0,1,0,,
Vigo  Alex,Independiente,6,31,5.17,33,5.5,0,0,0,0,1,0,0,2,0,,
Barreto  Sergio,Independiente,5,25,5,29,5.8,0,0,0,0,0,0,0,2,0,,
Benitez  Oliver,Patronato,2,10,5,12,6,0,0,0,0,0,0,0,1,0,,
Blanco  Lautaro,Rosario Ctral.,6,31,5.17,31,5.17,0,0,0,0,2,0,0,2,0,,
Bittolo  Mariano,Argentinos,4,14,3.5,18,4.5,0,0,0,0,0,0,0,2,0,,
Campos  Felipe,Atl. Tucuman,2,5,2.5,9,4.5,0,0,0,0,0,0,0,2,0,,
Catalan  Matias,Talleres,5,24,4.8,28,5.6,0,0,0,0,0,0,0,2,0,,
Coronel  Emanuel,Banfield,4,21,5.25,21,5.25,0,0,0,0,0,1,0,2,0,,
Delgado  Rafael,Colon,6,32,5.33,28,4.67,0,0,0,0,3,0,0,1,0,,
Di Benedetto  Matias,Ctral. Cordoba,3,14,4.67,16,5.33,0,0,0,0,0,0,0,1,0,,
Di Placido  Leonel,Lanus,4,14,3.5,20,5,0,0,0,0,0,0,0,3,0,,
Ditta  Willer,Newell's,6,29,4.83,29,4.83,0,0,0,0,3,0,0,3,0,,
Doldan  Jose,Atl. Tucuman,5,22,4.4,26,5.2,0,0,0,0,0,0,0,2,0,,
Esquivel  Lucas,Union,1,5,5,7,7,0,0,0,0,0,0,0,1,0,,
Fratta  Guillermo,Gimnasia L.P.,6,27,4.5,25,4.17,0,0,0,0,3,0,0,2,0,,
Gerometta  Francisco,Gimnasia L.P.,6,23,3.83,23,3.83,0,0,0,0,2,0,0,2,0,,
Goltz  Paolo,Colon,6,11,1.83,21,3.5,0,0,0,0,0,0,0,5,0,,
Gonzalez  Ramiro,Talleres,5,24,4.8,22,4.4,0,0,0,0,1,1,0,2,0,,
Goñi  Gonzalo,Arsenal,6,27,4.5,23,3.83,0,0,0,0,3,0,0,1,0,,
Infante  Juan Jose,Platense,5,26,5.2,28,5.6,0,0,0,0,0,0,0,1,0,,
Jara  Leonardo,Velez,2,5,2.5,7,3.5,0,0,0,0,0,0,0,1,0,,
Lucero  Rufino,Aldosivi,6,24,4,28,4.67,0,0,0,0,1,0,0,3,0,,
Lopez Quintana  Mario,Aldosivi,6,29,4.83,33,5.5,0,0,0,0,1,0,0,3,0,,
Malatini  Julian,Talleres,1,5,5,7,7,0,0,0,0,0,0,0,1,0,,
Martinez  Damian,Rosario Ctral.,6,28,4.67,30,5,0,0,0,0,1,0,0,2,0,,
Milo  Federico,Aldosivi,2,5,2.5,9,4.5,0,0,0,0,0,0,0,2,0,,
Mendez  Armando,Newell's,6,30,5,32,5.33,0,0,0,0,1,0,0,2,0,,
Novillo  Joaquin,Colon,6,30,5,30,5,0,0,0,0,2,0,0,2,0,,
Ortega  Thomas,Independiente,3,14,4.67,18,6,0,0,0,0,0,0,0,2,0,,
Pereyra  Fabio,Ctral. Cordoba,6,30,5,30,5,0,0,0,0,1,0,0,1,0,,
Pintado  Juan,Godoy Cruz,6,25,4.17,27,4.5,0,0,0,0,1,0,0,2,0,,
Perez  Walter,Huracan,2,5,2.5,9,4.5,0,0,0,0,0,0,0,2,0,,
Ramirez  Ivan,Ctral. Cordoba,6,30,5,32,5.33,0,0,0,0,0,0,0,1,0,,
Rojas  Gabriel,San Lorenzo,4,20,5,22,5.5,0,0,0,0,1,0,0,2,0,,
Roman Villalba  Fernando,Aldosivi,6,31,5.17,33,5.5,0,0,0,0,2,0,0,3,0,,
Suarez  Lucas,Arsenal,5,25,5,23,4.6,0,0,0,0,3,0,0,2,0,,
Valentini  Nicolas,Aldosivi,5,26,5.2,26,5.2,0,0,0,0,1,1,0,3,0,,
Villalba  Lucas,Argentinos,6,30,5,32,5.33,0,0,0,0,1,0,0,2,0,,
Andrade  Kevin,Platense,4,17,4.25,17,4.25,0,0,0,0,1,0,0,1,0,,
Beltran  Emanuel,Estudiantes,1,6,6,6,6,0,0,0,0,0,0,0,0,0,,
Bernabei  Alexandro,Lanus,5,25,5,21,4.2,0,0,0,0,3,0,0,1,0,,
Breitenbruch  Nestor,Godoy Cruz,6,30,5,30,5,0,0,0,0,0,0,0,0,0,,
Calderara  Brian,Barracas Ctral.,4,20,5,18,4.5,0,0,0,0,1,0,0,0,0,,
Castet  Facundo,Sarmiento,2,6,3,6,3,0,0,0,0,0,0,0,0,0,,
Godoy  Leonardo,Estudiantes,5,28,5.6,26,5.2,0,0,0,0,1,0,0,0,0,,
Gomez  Valentin,Velez,3,18,6,16,5.33,0,0,0,0,2,0,0,1,0,,
James  Jeremias,San Lorenzo,1,6,6,6,6,0,0,0,0,0,0,0,0,0,,
Lozano  Raul,Patronato,6,30,5,30,5,0,0,0,0,1,0,0,1,0,,
Lopez  Elias,Godoy Cruz,3,15,5,13,4.33,0,0,0,0,0,1,0,1,0,,
Maciel  Alejandro,Banfield,3,6,2,6,2,0,0,0,0,1,0,0,1,0,,
Mas  Emmanuel,Estudiantes,6,30,5,30,5,0,0,0,0,0,0,0,0,0,,
Negri  Franco,Godoy Cruz,2,11,5.5,11,5.5,0,0,0,0,0,0,0,0,0,,
Noguera  Fabian,Estudiantes,4,22,5.5,20,5,0,0,0,0,1,0,0,0,0,,
Prieto  Sebastian,Tigre,4,24,6,24,6,0,0,0,0,2,0,0,2,0,,
Rodriguez  Lucas,Independiente,3,12,4,12,4,0,0,0,0,1,0,0,1,0,,
alvarez  Francisco,Talleres,3,11,3.67,11,3.67,0,0,0,0,1,0,0,1,0,,
Frias  Adonis,Def. y Justicia,6,31,5.17,25,4.17,0,1,0,0,3,0,0,1,0,,
Luciano  Martin,Newell's,3,15,5,15,5,0,0,0,0,1,0,0,1,0,,
Aude  Julian,Lanus,1,4,4,6,6,0,0,0,0,0,0,0,1,0,,
Kruspzky  Lucas,Patronato,3,9,3,13,4.33,0,0,0,0,0,0,0,2,0,,
Soto  Alexis,Def. y Justicia,6,29,4.83,25,4.17,0,1,0,0,2,0,0,1,0,,
Agüero  Facundo,Union,1,5,5,5,5,0,0,0,0,0,0,0,0,0,,
Baldi  Agustin,Tigre,2,5,2.5,7,3.5,0,0,0,0,0,0,0,1,0,,
Benitez  Marcelo,Rosario Ctral.,4,9,2.25,11,2.75,0,0,0,0,0,0,0,1,0,,
Carrizo  Lucas,Huracan,1,5,5,5,5,0,0,0,0,0,0,0,0,0,,
Enrique  Guillermo,Gimnasia L.P.,1,5,5,5,5,0,0,0,0,0,0,0,0,0,,
Escobar  Ian,Banfield,2,5,2.5,7,3.5,0,0,0,0,0,0,0,1,0,,
Flores  Francisco,San Lorenzo,3,13,4.33,11,3.67,0,0,0,0,1,0,0,0,0,,
Gariglio  Ignacio,Arsenal,4,17,4.25,15,3.75,0,0,0,0,1,0,0,0,0,,
Gonzalez  Leonel,Godoy Cruz,5,14,2.8,14,2.8,0,0,0,0,1,0,0,1,0,,
Guasone  Juan Cruz,Patronato,4,17,4.25,15,3.75,0,0,0,0,1,0,0,0,0,,
Insua  Emanuel,Velez,6,5,0.83,11,1.83,0,0,0,0,1,0,0,4,0,,
Lecanda  Tomas,Barracas Ctral.,4,17,4.25,13,3.25,0,0,0,0,0,1,0,0,0,,
Lujan  Gonzalo,San Lorenzo,3,10,3.33,10,3.33,0,0,0,0,1,0,0,1,0,,
Martino  angelo,Talleres,4,15,3.75,15,3.75,0,0,0,0,1,0,0,1,0,,
Navarro  Ezequiel,Huracan,2,5,2.5,5,2.5,0,0,0,0,0,0,0,0,0,,
Ortiz  Marcelo,Atl. Tucuman,4,18,4.5,14,3.5,0,0,0,0,2,0,0,0,0,,
Paz  Gonzalo,Barracas Ctral.,6,29,4.83,27,4.5,0,0,0,0,1,0,0,0,0,,
Peñailillo  Nicolas,Union,1,5,5,5,5,0,0,0,0,0,0,0,0,0,,
Portillo  Marcos,Newell's,1,5,5,5,5,0,0,0,0,0,0,0,0,0,,
Quintana  Carlos,Patronato,2,8,4,6,3,0,0,0,0,1,0,0,0,0,,
Rojo  Marcos,Boca,5,25,5,23,4.6,0,0,0,0,2,0,0,1,0,,
Rosso  Jean Pierre,Sarmiento,2,5,2.5,5,2.5,0,0,0,0,0,0,0,0,0,,
Salomon  Oscar,Tigre,4,9,2.25,11,2.75,0,0,0,0,0,0,0,1,0,,
Sbuttoni  Franco,Ctral. Cordoba,4,15,3.75,7,1.75,0,0,0,0,2,1,0,0,0,,
Velazquez  Victor,Newell's,2,5,2.5,7,3.5,0,0,0,0,0,0,0,1,0,,
Cardozo  Facundo,Platense,2,5,2.5,5,2.5,0,0,0,0,1,0,0,1,0,,
Caceres  Juan,Racing,1,5,5,5,5,0,0,0,0,1,0,0,1,0,,
Iñiguez  Emanuel,Aldosivi,2,10,5,10,5,0,0,0,0,2,0,0,2,0,,
Diaz  Enzo,Talleres,4,22,5.5,10,2.5,0,0,0,0,3,1,1,1,0,,
Bordon  Axel,Barracas Ctral.,1,4,4,4,4,0,0,0,0,0,0,0,0,0,,
Cobos  Facundo,Patronato,5,17,3.4,17,3.4,0,0,0,0,1,0,0,1,0,,
Gutierrez  Thomas,Barracas Ctral.,1,4,4,4,4,0,0,0,0,0,0,0,0,0,,
Miers  Marcos,Aldosivi,1,4,4,4,4,0,0,0,0,0,0,0,0,0,,
Minissale  Pablo,Argentinos,3,4,1.33,8,2.67,0,0,0,0,0,0,0,2,0,,
Pinola  Javier,River,1,4,4,4,4,0,0,0,0,0,0,0,0,0,,
Risso Patron  Gabriel,Atl. Tucuman,3,12,4,12,4,0,0,0,0,0,0,0,0,0,,
Sandez  Agustin,Boca,2,8,4,8,4,0,0,0,0,0,0,0,0,0,,
Teuten  Andrew,Colon,4,4,1,10,2.5,0,0,0,0,0,0,0,3,0,,
Torrent  Fernando,Rosario Ctral.,3,4,1.33,8,2.67,0,0,0,0,0,0,0,2,0,,
Benavidez  Gaston,Talleres,2,5,2.5,5,2.5,0,0,0,0,1,0,0,1,0,,
Morgantini  Nicolas,Platense,2,5,2.5,3,1.5,0,0,0,0,1,0,0,0,0,,
Braghieri  Diego,Lanus,1,3,3,3,3,0,0,0,0,0,0,0,0,0,,
Martinez  Franco,Arsenal,1,4,4,2,2,0,0,0,0,0,1,0,1,0,,
Pignani  Juan Pablo,Platense,1,4,4,2,2,0,0,0,0,1,0,0,0,0,,
Asis  Gonzalo,Independiente,1,0,0,2,2,0,0,0,0,0,0,0,1,0,,
Banegas  Nahuel,Ctral. Cordoba,1,0,0,2,2,0,0,0,0,0,0,0,1,0,,
Blasi  Brian,Union,1,0,0,2,2,0,0,0,0,0,0,0,1,0,,
Dominguez  Nery,Racing,4,0,0,8,2,0,0,0,0,0,0,0,4,0,,
Gallardo  Nahuel,Colon,1,0,0,2,2,0,0,0,0,0,0,0,1,0,,
Geminiani  Lautaro,Patronato,1,0,0,2,2,0,0,0,0,0,0,0,1,0,,
Martinez  Enzo,Barracas Ctral.,1,0,0,2,2,0,0,0,0,0,0,0,1,0,,
Navas  Julian,Arsenal,1,0,0,2,2,0,0,0,0,0,0,0,1,0,,
Rodriguez  Juan Gabriel,Def. y Justicia,1,0,0,2,2,0,0,0,0,0,0,0,1,0,,
Rodriguez  Matias,Def. y Justicia,1,0,0,2,2,0,0,0,0,0,0,0,1,0,,
Figal  Nicolas,Boca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Silva  Hugo,Def. y Justicia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Rey  Rodrigo,Gimnasia L.P.,6,36,6,37,6.17,0,0,0,1,0,0,0,2,0,1,13
Moyano  Sebastian,Union,5,25,5,41,8.2,0,0,0,1,1,0,0,4,0,1,2
